RagioneSociale,NomeVigneto,Oidium_Risk_Percent_07/26-08/01,Peronospora_Risk_Percent_07/26-08/01,Avg_Risk_Percent_07/26-08/01,Probabilita_OIDIO_26/07,Probabilita_PERONOSPORA_26/07
Radikon,Rib - Hum,22.5,79.7,51.1,82.61,18.01
Flaibani,Pg-Casa Basso,20.5,79.6,50.1,89.29,18.35
"Az. Agr. Lovisa Fulvio, Marino ed Angelo",Pg Cason,22.1,79.6,50.8,74.21,13.09
Ronco delle Betulle,Ref-DavantiCasa,24.9,79.6,52.2,74.45,16.47
Mauro Veglio,Lato bosco,31.8,79.6,55.7,80.99,13.76
Le Vigne di Zamò,Pig-Rosazzo Banchine Sotto Ufficio Ovest,24.5,79.4,52.0,74.45,16.47
KABOLA,CROAZIA,28.5,79.4,54.0,83.97,29.75
Jidvei,CHARDONNAYF33-13,28.1,79.3,53.7,94.35,21.19
Domaine des Lambrays,Morey Saint Denis,26.3,79.3,52.8,75.2,7.61
Guigal,Côte Rôtie,24.5,79.3,51.9,52.0,5.27
Jidvei,FETEASCA REGALAF11-74,28.2,79.3,53.8,94.35,21.19
Henri Bonneau,Châteauneuf-du-Pape,30.8,79.3,55.0,0.0,0.0
DOMAINE RP  BOULEY,Santenots,25.5,79.3,52.4,26.67,2.52
Livio Felluga,Masarotte 10B - PG 2010,26.6,79.3,52.9,73.81,16.57
Figelj Giordano,ribolla casa,25.9,79.2,52.5,82.61,18.01
Dudognon,Charentes,26.9,79.2,53.0,48.88,7.37
Ermacora,Ref-Dorigo Fitti,24.0,79.1,51.6,83.03,17.07
Albiana,Sauvignon Pšak,30.7,79.1,54.9,57.92,20.38
Albiana,Modri pinot San Stefan,30.7,79.1,54.9,57.92,20.38
FERRARI,TRENTO DOC,29.7,79.1,54.4,15.67,1.67
Lorenzon - I Feudi di Romans,Lorenzon-Char-Pieris,33.9,79.0,56.5,68.27,10.56
Visintini Andrea,Mer - Casa Strada Nord,26.4,79.0,52.7,78.47,16.7
Chateau La Mission Haut Brion,Pessac Leognan,27.3,78.7,53.0,0.0,0.0
Chateau Haut Brion,Pessac Leognan,27.3,78.7,53.0,0.0,0.0
Philine Isabelle,Dolcetto Monforte nutrienti+ SFW,27.9,78.7,53.3,46.33,3.5
Pecorari Marco,Rb - San Lorenzo strada 2017,28.5,78.6,53.6,69.36,15.96
Villa Sparina,Cortese La Torre,27.7,78.6,53.2,14.07,1.59
Quintarelli,Amarone,31.9,78.5,55.2,68.0,6.66
Ferdinand,Ribolla Zdenc,22.6,78.5,50.6,82.61,18.01
MASSIMAGO S.S. AGR.,Corvinone -  Dossetto,27.6,78.5,53.1,88.3,13.27
Chateau Coutet,Barsac,27.5,78.4,53.0,27.97,3.18
Chateau Rayas,Châteauneuf-du-Pape,31.0,78.3,54.7,0.0,0.0
Doisy Daene,Barsac,27.6,78.3,53.0,27.97,3.18
Domaine G. Roumier,Musigny,25.8,78.3,52.1,75.2,7.61
Gaja,Nebbiolo Pajorè Università,28.4,78.2,53.3,53.12,4.91
Albiana,Žametovka Zajčer,31.0,78.1,54.5,57.92,20.38
Lorenzon - I Feudi di Romans,Sauvignon 9Ha,28.2,78.1,53.2,68.27,10.56
La Taviela s.s.a.,PG2 Dietro Molino alto,25.3,78.1,51.7,67.91,11.36
Ferdinand,Malvasia Pročno,23.4,78.1,50.7,82.61,18.01
MASSIMAGO S.S. AGR.,Rondinella - Le Macie,28.1,78.0,53.0,88.3,13.27
I Magredi,Pg-1,27.6,77.9,52.8,74.21,13.09
Château de Beaucastel,Châteauneuf du Pape,30.0,77.9,53.9,0.0,0.0
Felix Clerget,Vougeot,26.8,77.8,52.3,72.87,7.5
Mauro Veglio,Sotto casa,32.7,77.8,55.2,80.99,13.76
Mauro Veglio,Ritocchino,32.7,77.8,55.2,80.99,13.76
Tenimenti Leone,LNV_ML1,31.3,77.6,54.5,52.0,4.38
JNK,VIPASKA,25.9,77.6,51.8,74.55,12.35
Jean Louis Chave,Les Bessards,28.8,77.4,53.1,4.0,0.5
Korenika & Moškon,Malvasia Kalcinar,27.1,77.0,52.1,86.73,16.74
Korenika & Moškon,Malvasia speronato Kalcinar,27.1,77.0,52.1,86.73,16.74
Alphonse Mellot,Edmond,28.1,76.9,52.5,25.83,2.77
Domaine de la Romanée-Conti,Romanee Conti,27.0,76.8,51.9,29.77,2.97
Armand Rousseau,Chambertin,27.0,76.7,51.8,75.2,7.61
Jaboulet,Les Bessarts,28.9,76.7,52.8,6.0,0.6
Henri Jayer,Vosne Romanee,27.2,76.6,51.9,29.77,2.97
Bentu Luna,Vernaccia,30.7,76.6,53.6,21.83,2.28
Ferdinand,Ribolla Kaleha,22.4,76.5,49.5,82.61,18.01
Domaine Roger Sabon,Châteauneuf-du-Pape,30.5,76.4,53.5,0.0,0.0
Egon Muller,Saar,21.5,76.4,49.0,49.87,4.86
Chateaux Margaux,Margaux,28.3,76.4,52.4,20.0,2.78
Castello di Cigognola ,pinot nero Pizzarello 2010,35.7,76.4,56.0,0.0,0.0
Ca Viola,Barbera Barturot,29.6,76.4,53.0,58.33,5.29
Ferdinand,Merlot Pročno 2017 zgoraj,22.4,76.3,49.4,82.61,18.01
Korenika & Moškon,Malvasia Vecchia Bankina,28.9,76.3,52.6,79.41,15.81
Monsupello,Bar - 2007 Borla Rosso_Monsupello,35.6,76.3,55.9,0.0,0.0
Jidvei,FETEASCA ALBA F16-T10,31.9,76.2,54.1,49.4,5.14
Rado Kocjančič,Vitovska Brdo - Rado Kocjančič,30.0,76.2,53.1,66.13,6.86
Borc da Vila,Car-Fratta02,28.5,76.2,52.3,69.36,15.96
Chateau Palmer,Margaux,28.7,76.1,52.4,20.0,2.78
VCR,Omologazione,26.2,76.1,51.2,74.21,13.09
Monsupello,Pn - 1982 x Rosso_Monsupello,35.7,76.1,55.9,0.0,0.0
Monsupello,Bar - 2007 Mairano,36.0,76.1,56.0,0.0,0.0
Marina,Pinot grigio provinciale,27.9,76.0,52.0,74.21,13.09
Chateau Bel air,Margaux,27.8,76.0,51.9,39.02,5.89
Bajaj,Arneis - Gaiuccio - FIVI,32.0,76.0,54.0,59.12,7.3
Korenika & Moškon,Refosk Pod Kortinca,28.3,75.9,52.1,86.73,16.74
Casa E. Mirafiore,La Delizia sotto strada vigna vecchia,29.2,75.7,52.4,58.33,5.29
ProVitis,Chardonnay_F5_V792,35.2,75.6,55.4,0.0,0.0
Mauro Veglio,Castelletto_ sopra strada,29.4,75.5,52.5,46.33,3.5
Laberdolive,Armagnac,27.5,75.5,51.5,28.37,3.49
Korenika & Moškon,Malvasia Paderno,28.8,75.5,52.1,82.59,16.6
Forchir,Pg - cordone libero 2016,27.8,75.4,51.6,83.23,15.91
Vignai da duline,Sv-Pitotti,28.6,75.4,52.0,74.45,16.47
Monsupello,Pn - 2005 Elicottero_Montagnera,35.4,75.3,55.4,0.0,0.0
Korenika & Moškon,Refosk Medljan,32.0,75.3,53.6,86.73,16.74
MONTEROSSA,FRANCIACORTA,27.4,75.3,51.4,67.06,13.23
Chateau Dassault,Saint Emilion,28.2,75.3,51.7,31.13,3.93
Albafiorita,Glera giovane - Albafiorita,27.8,75.1,51.5,79.3,20.25
Monsupello,Cro - 2003 Redavalle,35.9,75.1,55.5,0.0,0.0
Conterno Fantino,Sori ginestra 72,29.1,75.1,52.1,46.33,3.5
Abrigo Giovanni ,Dolcetto Garabei Fivi,29.9,75.1,52.5,58.33,5.29
Casa E. Mirafiore,La Rosa Sopra Strada,29.8,74.9,52.4,52.33,4.39
Sandrone,Nebb_Villero,30.6,74.9,52.8,46.33,3.5
Sandrone,Talin_Le Coste,29.3,74.8,52.1,46.33,3.5
Monsupello,Neb - 2007 Redavalle,36.0,74.8,55.4,0.0,0.0
Jidvei,RIESLING DE RHINF4-51,33.1,74.7,53.9,87.4,31.44
Ca Viola,Barolo sottocastello,30.7,74.7,52.7,46.33,3.5
Sandrone,Alto_Merli,30.7,74.7,52.7,46.33,3.5
Chateau Le Pin,Pomerol,28.2,74.6,51.4,35.11,7.17
Neri Enrico,trebbiano scarpetta,31.7,74.4,53.1,88.08,25.76
Pieropan,Soave,34.6,74.3,54.5,78.92,9.07
Podere Collalto,Cabernet Sauvignon_ Cantina-dal cancello verso la cantina 8 filari,31.8,74.3,53.0,93.81,21.67
Soc. Agr. VALLE FRASSINA ss,2018 chardonnay,27.5,74.2,50.9,69.88,14.82
ProVitis,Pinot Gris_C_V77+78+79,35.3,74.0,54.6,0.0,0.0
Castello di Cacchiano,Santa lucia ponente,33.3,73.9,53.6,75.42,12.11
IREU - Le Velette,trebbiano baldini,28.6,73.9,51.2,88.14,25.27
Monsupello,Pn - 2011 Ca del Tava,36.6,73.7,55.1,0.0,0.0
Tenuta del Cabreo,Sangiovese D13 - Lago,30.7,73.5,52.1,87.28,18.82
Tenuta San Sano,Palazzino,30.8,73.4,52.1,75.42,12.11
Neri Enrico,chardonnay versante nord,31.0,73.4,52.2,88.14,25.27
Mauro Veglio,Terlo,30.9,73.3,52.1,46.33,3.5
Masciarelli - Provincia di Chieti,Mp filare sud Buc,33.2,73.1,53.1,78.77,10.85
Tenute Dettori,Zero,30.7,73.1,51.9,0.0,0.0
De Bartoli,Marsala,35.7,73.0,54.4,0.0,0.0
SORSO_PACIFICO_VACCA GIUSEPPE_UNISS,Ogana Vermentino,31.2,73.0,52.1,0.0,0.0
Società Agricola Agribel S.S.,CN2_PN2,27.2,72.9,50.1,43.33,4.69
SELVAPIANA,CHIANTI RUFFINA,33.1,72.8,53.0,81.4,18.5
Ridge Vineyards,Pommerol,28.8,72.7,50.8,35.11,7.17
PLANETA,NOTO,34.5,72.5,53.5,3.33,0.46
Bentu Luna,Vermentino,31.9,72.4,52.1,1.03,0.05
Casa E. Mirafiore,La Villa basso,31.5,72.3,51.9,46.33,3.5
Sandrone,Talin_Rivassi,31.5,72.3,51.9,46.33,3.5
Blasi Mauro,chardonnay vecchio capannone,35.2,72.2,53.7,88.54,14.12
I.I.S. Umberto I - Alba,Varietà resistenti,32.7,72.1,52.4,63.12,6.3
Alvaro Palacios,Priorat,34.4,72.0,53.2,0.0,0.0
Alvaro Palacios,La Rioja,34.4,72.0,53.2,0.0,0.0
Altesino,Futuro impianto 2024 oltre il fosso,29.6,71.9,50.7,64.91,10.16
Casa E. Mirafiore,Bricco Biancardi,32.8,71.8,52.3,63.12,6.3
Mauro Veglio,Nebb_Fianco casa,31.5,71.7,51.6,46.33,3.5
Cantina Marramiero,Montepulciano S.Andrea Costa,33.8,71.1,52.5,78.76,10.87
Mas Amiel,Maury,33.1,70.9,52.0,0.0,0.0
Michele Satta,Merlot_Botro,29.8,70.9,50.3,44.95,4.41
Podere Collalto,Merlot,32.8,70.8,51.8,93.27,22.13
Masciarelli - Provincia di Chieti,Mp Schiavone,34.6,70.7,52.6,79.87,8.14
VALENTINI,MOTEPULCIANO,35.7,70.7,53.2,84.54,21.2
Il dopolavoro,Sx,32.1,70.7,51.4,0.0,0.0
Tenuta di Nozzole ,Cabernet A02 - Anf.A Casa Vecchia,34.2,70.7,52.4,87.28,18.82
KA MANCINE,ROSSESE DI DOLCEACQUA,30.9,70.5,50.7,35.4,2.96
Le Corgne,riesling golden hill,32.7,70.5,51.6,97.24,16.99
Biondi Santi,Montalcino,30.2,70.5,50.4,79.9,13.28
ALE.P.A. SOCIETÀ AGRICOLA SRL,Carpineto G pallagrello Fivi,29.7,70.4,50.1,78.24,12.01
Celler Salace,garnacha,33.5,70.3,51.9,0.0,0.0
Gianfranco Alessandria,Nebbiolo_Ciliegia,31.8,70.2,51.0,46.33,3.5
Velmer Società agricola srl,Nuragus triangolo,34.1,70.1,52.1,0.0,0.0
Sandrone,2_Valmaggiore,34.9,70.1,52.5,63.12,6.3
Tenuta del Cabreo,Sangiovese D16 - Cappella,31.9,69.9,50.9,87.28,18.82
Tenuta Castelluzzo - Catalafimi,Catarratto 5_castelluzzo alto,37.4,69.9,53.6,0.0,0.0
Tenuta Castelluzzo - Catalafimi,Catarratto 8/9/10/18a_castelluzzo basso,36.9,69.9,53.4,0.0,0.0
SOCIETÀ AGRICOLA ULIVI DI EDO DI MAFESSONI CLAUDIA & C. SS,Merlot 2,30.8,69.8,50.3,44.95,4.41
ELENA FUCCI,AGLIANICO DEL VULTURE,42.9,69.8,56.4,5.53,0.57
Le Corgne,pinot nero 44 gatti,33.0,69.7,51.4,97.24,16.99
Tenuta San Guido,Sassicaia,37.3,69.6,53.5,44.95,4.41
Le Corgne,I gradone SB,33.0,69.6,51.3,97.24,16.99
Casa di Sala,Chardonnay H07 - Baracca,31.3,69.6,50.4,87.28,18.82
Zolotaya Balka,4.5 Aligote,33.9,69.3,51.6,0.0,0.0
Lodovico Antinori - Tenuta del Nicchio,CF- vigna Gaddo,30.9,69.2,50.1,44.95,4.41
Podere Guardia Grande,GG-VE5,34.3,69.2,51.7,1.07,0.05
Camarcanda,Fiano campo olivi,35.5,69.2,52.3,44.95,4.41
H3,row 1 aglianico 04.1,33.9,69.1,51.5,,
Valentina Petruio,Pecorino Sarallo,34.1,69.0,51.6,84.55,36.28
Michele Satta,Cabernet Sau_Poderini,30.9,68.9,49.9,44.95,4.41
Abrigo Giovanni ,Falerno del Massico,36.2,68.7,52.4,87.56,26.9
Tenuta San Sano,Bozzagone 1,29.9,68.6,49.2,88.81,11.43
Podere Guardia Grande,PE-VE2,34.5,68.5,51.5,1.07,0.05
OTELLO CECI,LAMBRUSCO,36.8,68.4,52.6,72.0,7.45
FALESCO,MONTIANO,33.9,68.2,51.1,66.45,6.76
DORGALI_FRONTEDDU_CANTINA SOCIALE_UNISS,campi cloni,36.1,68.2,52.1,0.0,0.0
Blasi Mauro,sagrantino Ciribilli,38.2,68.1,53.2,88.54,14.12
Casale dello Sparviero,Sangiovese Le Valli 2,32.7,68.0,50.4,88.81,11.43
Masciarelli - Provincia di Teramo,MP villa,38.6,68.0,53.3,90.21,16.87
Cascina Luogosanto,Vermentino 2023,32.5,67.9,50.2,0.0,0.0
 TERRE REGIONALI TOSCANE,Vigneto 6,34.1,67.4,50.7,83.21,13.8
Siddura,char - sq 5,32.9,67.4,50.1,0.0,0.0
MAMOIADA_FRONTEDDU_MELE ANTONIO_UNISS,centrale,36.5,67.4,51.9,0.0,0.0
Varvaglione,primitivo giovane Zuzzaro,39.4,67.3,53.4,11.67,1.18
Masciarelli - Provincia di Chieti,Pec basso Casacanditella,38.4,67.3,52.8,84.9,12.24
Varvaglione,Negroamaro Pizzariello,39.3,67.2,53.3,11.67,1.18
Feudo Artù,Syrah 2013 SE_Contrada Giudeo,40.3,67.2,53.7,0.0,0.0
Masseria Palesi,Primitivo - Lotto 1,35.9,67.1,51.5,33.33,3.44
Feudo Artù,Syrah 2005_Cantina,40.3,67.0,53.6,0.0,0.0
Feudo Artù,Nero Avola pannelli 2018_Contrada Giudeo,40.3,67.0,53.6,0.0,0.0
Quinta dos Malvedos,Cima Corgo Porto,38.6,66.9,52.7,0.0,0.0
Tenuta Presti e Pegni - Monreale ,Nero d'Avola 1/2/3/4/5/5a/6_La Marchesa,40.3,66.9,53.6,6.67,0.93
Tenuta Ficuzza,Chardonnay ventaglio 2004_Ficuzza Est,42.6,66.8,54.7,0.0,0.0
Camillo Pugliesi,Catarratto 2015 grande_Cardella,38.6,66.8,52.7,31.99,5.79
